Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.09952000e-06,-1.01562500e+01,1.19000000e+03,-2.26562500e-01,1.14843750e+00,,-2.09952000e-06,-7.64666547e-05
-2.09792000e-06,-1.00640625e+01,1.19429688e+03,-6.95312500e-01,1.18750000e+00,,-2.09792000e-06,-7.73466672e-05
-2.09632000e-06,-1.01406250e+01,1.18859375e+03,-3.90625000e-01,8.51562500e-01,,-2.09632000e-06,-7.83824289e-05
-2.09472000e-06,-1.01000000e+01,1.19085938e+03,-1.64062500e-01,1.18750000e+00,,-2.09472000e-06,-7.89101614e-05
-2.09312000e-06,-1.01218750e+01,1.18820312e+03,-2.42187500e-01,1.20312500e+00,,-2.09312000e-06,-7.92966748e-05
-2.09152000e-06,-1.01750000e+01,1.19382812e+03,-3.43750000e-01,1.00781250e+00,,-2.09152000e-06,-7.98551919e-05
-2.08992000e-06,-1.01093750e+01,1.19125000e+03,-2.81250000e-01,1.22656250e+00,,-2.08992000e-06,-8.04515294e-05
-2.08832000e-06,-1.01406250e+01,1.19320312e+03,-5.85937500e-01,1.00781250e+00,,-2.08832000e-06,-8.12788712e-05
-2.08672000e-06,-1.01234375e+01,1.19054688e+03,-3.43750000e-01,1.54687500e+00,,-2.08672000e-06,-8.21655849e-05
-2.08512000e-06,-1.00921875e+01,1.18976562e+03,-1.87500000e-01,9.29687500e-01,,-2.08512000e-06,-8.26714531e-05
-2.08352000e-06,-1.00328125e+01,1.19359375e+03,-7.96875000e-01,1.54687500e+00,,-2.08352000e-06,-8.36108375e-05
-2.08192000e-06,-1.01265625e+01,1.19390625e+03,-7.50000000e-01,1.28906250e+00,,-2.08192000e-06,-8.50880970e-05
-2.08032000e-06,-1.00437500e+01,1.19164062e+03,-1.40625000e-01,1.28125000e+00,,-2.08032000e-06,-8.59385036e-05
-2.07872000e-06,-1.01765625e+01,1.19132812e+03,-4.21875000e-01,1.05468750e+00,,-2.07872000e-06,-8.64746398e-05
-2.07712000e-06,-1.01343750e+01,1.19132812e+03,-6.71875000e-01,9.76562500e-01,,-2.07712000e-06,-8.75170517e-05
-2.07552000e-06,-1.01015625e+01,1.19281250e+03,-6.56250000e-01,1.07031250e+00,,-2.07552000e-06,-8.87836140e-05
-2.07392000e-06,-1.00765625e+01,1.19078125e+03,-4.45312500e-01,8.04687500e-01,,-2.07392000e-06,-8.98340586e-05
-2.07232000e-06,-9.99375000e+00,1.19078125e+03,-7.73437500e-01,9.06250000e-01,,-2.07232000e-06,-9.09950686e-05
-2.07072000e-06,-1.01093750e+01,1.19179688e+03,-5.07812500e-01,8.90625000e-01,,-2.07072000e-06,-9.22160325e-05
-2.06912000e-06,-1.00203125e+01,1.19093750e+03,-1.56250000e-01,9.84375000e-01,,-2.06912000e-06,-9.28490699e-05
-2.06752000e-06,-1.00921875e+01,1.19226562e+03,-7.26562500e-01,1.06250000e+00,,-2.06752000e-06,-9.36909419e-05
-2.06592000e-06,-1.00828125e+01,1.19140625e+03,-8.35937500e-01,1.21875000e+00,,-2.06592000e-06,-9.51807015e-05
-2.06432000e-06,-1.01218750e+01,1.19320312e+03,-5.54687500e-01,1.11718750e+00,,-2.06432000e-06,-9.65069412e-05
-2.06272000e-06,-1.00437500e+01,1.19265625e+03,-6.40625000e-01,1.26562500e+00,,-2.06272000e-06,-9.76476585e-05
-2.06112000e-06,-1.00796875e+01,1.19000000e+03,-6.32812500e-01,9.76562500e-01,,-2.06112000e-06,-9.88613319e-05
-2.05952000e-06,-1.00875000e+01,1.19523438e+03,-2.18750000e-01,1.09375000e+00,,-2.05952000e-06,-9.96729359e-05
-2.05792000e-06,-1.00781250e+01,1.19445312e+03,-2.73437500e-01,1.01562500e+00,,-2.05792000e-06,-1.00143392e-04
-2.05632000e-06,-1.01625000e+01,1.19226562e+03,-7.03125000e-01,1.42968750e+00,,-2.05632000e-06,-1.01075326e-04
-2.05472000e-06,-1.00859375e+01,1.19226562e+03,-3.51562500e-01,1.13281250e+00,,-2.05472000e-06,-1.02081300e-04
-2.05312000e-06,-1.00250000e+01,1.19507812e+03,-3.51562500e-01,7.10937500e-01,,-2.05312000e-06,-1.02752740e-04
-2.05152000e-06,-1.00656250e+01,1.19437500e+03,-6.32812500e-01,7.50000000e-01,,-2.05152000e-06,-1.03693506e-04
-2.04992000e-06,-1.01218750e+01,1.19328125e+03,5.46875000e-02,1.07031250e+00,,-2.04992000e-06,-1.04245955e-04
-2.04832000e-06,-1.00953125e+01,1.19195312e+03,-1.01562500e-01,6.17187500e-01,,-2.04832000e-06,-1.04290593e-04
-2.04672000e-06,-1.01750000e+01,1.19218750e+03,-3.67187500e-01,9.45312500e-01,,-2.04672000e-06,-1.04737643e-04
-2.04512000e-06,-1.01281250e+01,1.19250000e+03,-6.32812500e-01,1.05468750e+00,,-2.04512000e-06,-1.05691550e-04
-2.04352000e-06,-1.01140625e+01,1.19250000e+03,-3.12500000e-02,7.73437500e-01,,-2.04352000e-06,-1.06325067e-04
-2.04192000e-06,-1.00265625e+01,1.19164062e+03,-4.06250000e-01,1.28906250e+00,,-2.04192000e-06,-1.06742162e-04
